project_index,omniclass_element,life_cycle_stage,gwp,ep,ap,sfp,odp,nred
82,Shell - Superstructure,A4,346.6,0.13,1.62,53.075,1.18723755e-11,4920.4
82,Shell - Superstructure,B4-B5,2483.4,0.9900000000000001,14.639999999999999,166.868,1.7929459e-07,14083.900000000001
82,Shell - Superstructure,C2-C4,4257.3,1.23,18.59,265.686,4.895915526e-10,42099.8
82,Shell - Superstructure,D,2901.9,0.13,3.2300000000000004,71.66,-1.695285072516e-05,14680.599999999999
82,Substructure,A1-A3,9086.2,1.74,22.560000000000002,481.23400000000004,2.9431682e-07,74013.2
82,Substructure,A4,90.9,0.03,0.42000000000000004,13.918,3.1132800000000002e-12,1290.1999999999998
82,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
82,Substructure,C2-C4,834.7,0.19,3.86,76.69500000000001,1.5340605e-10,13358.800000000001
82,Substructure,D,846.6,0.08,1.86,33.692,-5.7312897212000005e-06,8032.900000000001
83,Interiors - Construction,A1-A3,280705.0,119.77,1177.29,14976.875,0.0045326347757,3493349.2
83,Interiors - Construction,A4,2945.1,1.06,13.64,450.865,1.0087997e-10,41796.3
83,Interiors - Construction,B4-B5,126495.5,171.4,659.01,6940.857,0.0034972420829,1877161.0
83,Interiors - Construction,C2-C4,1657.3,5.04,12.92,174.746,1.4998522600000001e-10,22886.8
83,Interiors - Construction,D,-151346.7,-13.56,-366.13,-4827.185,0.000937749994,-1443124.2
83,Interiors - Finishes,A1-A3,474799.1,150.1,1651.06,20629.887,0.008959201188393,7251696.9
83,Interiors - Finishes,A4,16272.199999999999,6.07,75.33,2491.545,5.57359869e-10,230974.4
83,Interiors - Finishes,B4-B5,1035322.3,390.78,3323.01,50662.572,0.0162928853983,16898789.2
83,Interiors - Finishes,C2-C4,44147.200000000004,10.66,189.81,3716.031,1.105114817e-08,648525.7
83,Interiors - Finishes,D,-124094.9,-12.35,-571.49,-5135.031,0.000137482371592,-1328746.8
83,Shell - Enclosure,A1-A3,889497.5,196.92,4622.87,60305.983,0.004807860884845777,11898723.0
83,Shell - Enclosure,A4,16597.7,6.18,76.86,2541.241,5.68371221e-10,235581.3
83,Shell - Enclosure,B4-B5,770460.5,187.3,4155.93,55932.999,0.0032372021419695,10936446.7
83,Shell - Enclosure,C2-C4,34476.0,8.39,120.86,2333.692,4.6215312722e-09,402789.1
83,Shell - Enclosure,D,-336655.8,-29.74,-1193.82,-11932.798,0.0015585732893736001,-3158621.4
83,Shell - Superstructure,A1-A3,7087954.3,1184.84,36531.700000000004,345052.211,0.03719939948508,73105655.1
83,Shell - Superstructure,A4,88274.4,33.06,409.06,13515.801,3.02322421e-09,1252959.3
83,Shell - Superstructure,B4-B5,197013.19999999998,143.73,1365.12,12216.857,0.00565280120529,2355890.1999999997
83,Shell - Superstructure,C2-C4,381581.5,48.27,956.5300000000001,19019.437,3.8109737666000004e-08,3314949.6999999997
83,Shell - Superstructure,D,-310553.9,-42.35,-1327.66,-14333.146999999999,0.00069726469195,-3285790.3999999994
83,Substructure,A1-A3,3115602.3,522.0699999999999,9385.369999999999,167494.105,-0.0040973238521,27070779.4
83,Substructure,A4,24774.3,9.33,114.78000000000002,3793.2999999999997,8.487955999999999e-10,351651.5
83,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
83,Substructure,C2-C4,423849.4,49.510000000000005,976.87,19429.448,3.88229578e-08,3384257.4
83,Substructure,D,-241812.4,-16.12,-422.05,-4178.4800000000005,0.00177516288417,-2239210.4
83,Unknown,A1-A3,57892.8,6.83,299.90999999999997,2770.875,0.000113573830723,675946.3
83,Unknown,A4,416.7,0.15000000000000002,1.9300000000000002,63.797000000000004,1.4271400000000002e-11,5914.3
83,Unknown,B4-B5,52106.899999999994,5.85,276.59999999999997,2471.9449999999997,3.6635231924e-05,607694.0
83,Unknown,C2-C4,591.9,0.2,2.42,18.636,2.5506028e-11,2066.7000000000003
83,Unknown,D,-48591.4,-5.08,-305.69,-2403.427,2.2136509e-05,-462245.3
84,Interiors - Construction,A1-A3,24890.7,24.21,146.99,1515.224,0.00148421766870253,335737.7
84,Interiors - Construction,A4,467.7,0.16,2.14,71.604,1.6016454802000002e-11,6638.200000000001
84,Interiors - Construction,B4-B5,17725.0,20.66,81.32,988.802,0.0011649491074575999,207254.1
84,Interiors - Construction,C2-C4,6049.7,9.53,42.69,159.343,1.08063450093e-10,7090.299999999999
84,Interiors - Construction,D,-11983.0,-2.37,-87.61,-917.646,-7.344339251200002e-06,-170194.2
84,Interiors - Finishes,A1-A3,226476.7,116.02,556.21,8905.565,0.001808513788074005,3495138.9
84,Interiors - Finishes,A4,8252.9,2.77,38.05,1263.567,2.8264092638799997e-10,117138.3
84,Interiors - Finishes,B4-B5,204758.6,57.14,737.55,14048.35,0.0002987676338654,4230691.1
84,Interiors - Finishes,C2-C4,37293.0,10.03,170.95,3340.62,6.710055313246e-09,583397.0
84,Interiors - Finishes,D,-8641.7,-0.67,-16.87,-239.142,6.088261997058495e-05,-81197.09999999999
84,Shell - Enclosure,A1-A3,611850.2,159.44,2198.92,31814.916,0.002442202455794906,6895074.4
84,Shell - Enclosure,A4,13524.7,4.7700000000000005,62.37,2070.73,4.631910428e-10,191965.2
84,Shell - Enclosure,B4-B5,162131.0,59.480000000000004,838.94,11302.103,0.00040503355307459996,2832922.9
84,Shell - Enclosure,C2-C4,68497.3,37.68,319.17,4010.334,7.1955749591368e-09,617791.0
84,Shell - Enclosure,D,-47990.700000000004,-7.380000000000001,-304.15999999999997,-2788.768,0.0001201352444323911,-685513.6
84,Shell - Superstructure,A1-A3,2041660.1,367.96999999999997,7438.88,117334.61899999999,0.0020421438454979444,20964449.3
84,Shell - Superstructure,A4,23110.7,8.58,107.00999999999999,3538.605,7.915324575943e-10,328041.5
84,Shell - Superstructure,B4-B5,106409.1,28.59,394.76,6140.008,0.000148046286681338,1894546.1
84,Shell - Superstructure,C2-C4,224161.30000000002,79.08,946.33,10905.95,1.8712608231875e-08,1590535.0
84,Shell - Superstructure,D,-229320.5,-25.98,-646.0,-8152.283,0.00184615126120996,-3049609.3
84,Substructure,A1-A3,586769.5,110.1,1705.06,32224.859,-0.0006793473793184,5078426.0
84,Substructure,A4,5054.7,1.8900000000000001,23.41,773.9159999999999,1.731118308e-10,71744.2
84,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
84,Substructure,C2-C4,49371.5,11.58,228.08,4536.457,9.073695782e-09,790160.5
84,Substructure,D,-39465.9,-2.42,-65.24,-496.29599999999994,0.00029433578521355,-363471.0
84,Unknown,A1-A3,18415.9,6.2,125.72,1910.05,0.00016051511981654,259132.6
84,Unknown,A4,926.8,0.33,4.28,141.961,3.1753778924e-11,13159.8
84,Unknown,B4-B5,5031.7,2.12,23.22,279.719,1.62294464228e-05,53935.8
84,Unknown,C2-C4,19838.2,7.53,79.67,400.191,3.237645965023e-10,22128.2
84,Unknown,D,-616.5000000000003,-1.55,-39.43,-496.77,2.99199901928e-05,-152632.7
85,Interiors - Construction,A1-A3,817.1,0.19,4.390000000000001,64.373,1.8224833692e-05,10293.800000000001
85,Interiors - Construction,A4,8.4,0.0,0.04,1.304,2.915698e-13,120.80000000000001
85,Interiors - Construction,B4-B5,38.8,0.02,0.22,2.49,4.37187e-10,195.6
85,Interiors - Construction,C2-C4,32.6,0.01,0.14,0.946,1.2173069e-12,97.2
85,Interiors - Construction,D,-141.8,0.0,-0.30000000000000004,-4.161,9.393218985e-07,-1391.5
85,Interiors - Finishes,A1-A3,4322.4,1.3099999999999998,10.370000000000001,156.285,8.4260996232604e-05,75232.8
85,Interiors - Finishes,A4,172.8,0.02,0.79,26.688,5.9701813979999996e-12,2474.1
85,Interiors - Finishes,B4-B5,14605.6,7.22,45.13,647.729,0.000420104361091498,258402.3
85,Interiors - Finishes,C2-C4,739.3,0.19,2.64,42.04,2.1321315844e-10,6940.6
85,Interiors - Finishes,D,-322.0,-0.03,-0.7400000000000001,-10.676,-4.851700932e-10,-4635.400000000001
85,Shell - Enclosure,A1-A3,5350.9,2.04,33.68,382.54200000000003,7.498824783863e-05,68549.4
85,Shell - Enclosure,A4,77.7,0.01,0.35000000000000003,12.009,2.686324044e-12,1113.1
85,Shell - Enclosure,B4-B5,2338.2,1.55,16.03,174.852,2.142625409021e-05,28439.100000000002
85,Shell - Enclosure,C2-C4,276.40000000000003,0.42000000000000004,1.96,10.925,1.3539525579e-11,1089.3
85,Shell - Enclosure,D,-1571.0,-0.16,-9.08,-81.638,8.692790373e-07,-15847.8
85,Shell - Superstructure,A1-A3,2675.6,0.58,10.86,148.409,1.04550838023e-05,27626.4
85,Shell - Superstructure,A4,19.8,0.0,0.08,3.0500000000000003,6.8235643e-13,282.9
85,Shell - Superstructure,B4-B5,522.7,0.2,3.2800000000000002,36.472,3.5370255132e-06,6643.7
85,Shell - Superstructure,C2-C4,88.2,0.02,0.4,7.989,1.5983702393999998e-11,1391.8999999999999
85,Shell - Superstructure,D,-437.3,-0.02,-1.4300000000000002,-14.719000000000001,2.12702123882e-06,-4119.8
85,Unknown,A1-A3,87.7,0.01,0.52,6.712,2.2490211e-06,1105.6
85,Unknown,A4,0.7,0.0,0.0,0.122,2.748745e-14,11.3
85,Unknown,B4-B5,7.1,0.0,0.09,0.46399999999999997,4.2801610000000003e-07,92.6
85,Unknown,C2-C4,0.4,0.0,0.0,0.038,7.62280265e-14,6.6000000000000005
85,Unknown,D,-17.0,0.0,-0.05,-0.733,7.034353e-08,-173.3
86,Interiors - Construction,A1-A3,53602.3,9.52,153.13,2518.879,0.00020007184785983,507172.80000000005
86,Interiors - Construction,A4,1888.1,0.6900000000000001,8.76,289.09499999999997,6.4666717343e-11,26800.1
86,Interiors - Construction,B4-B5,4451.1,2.64,19.43,319.591,9.034456963134001e-05,64111.0
86,Interiors - Construction,C2-C4,3679.3,1.34,17.64,321.476,6.291339365788e-10,55036.2
86,Interiors - Construction,D,-13453.7,-1.15,-32.49,-390.521,8.5288349645e-05,-129761.0
86,Interiors - Finishes,A1-A3,5036.5,0.8,7.23,152.104,1.8891131813900002e-07,82064.7
86,Interiors - Finishes,A4,212.60000000000002,0.05,0.97,32.566,7.28377559e-12,3018.9
86,Interiors - Finishes,B4-B5,10170.5,1.98,27.95,568.382,3.613747565e-09,190251.1
86,Interiors - Finishes,C2-C4,827.3,0.22,3.75,74.052,2.6654006007e-10,12939.0
86,Interiors - Finishes,D,-0.7,0.0,0.01,0.18,-3.1948969000000003e-12,-14.0
86,Shell - Enclosure,A1-A3,377590.0,92.67,1239.58,19630.464,0.00470103047081569,4762558.9
86,Shell - Enclosure,A4,13760.699999999999,5.11,63.75,2106.967,4.7129460678e-10,195322.7
86,Shell - Enclosure,B4-B5,155222.8,51.709999999999994,664.87,9430.081,0.0026494919291959003,2873783.3
86,Shell - Enclosure,C2-C4,26441.4,6.54,113.42,2253.463,4.391291410334e-09,387960.8
86,Shell - Enclosure,D,-80257.40000000001,-9.36,-281.62,-3257.031,0.00031131332748227325,-811207.7
86,Shell - Superstructure,A1-A3,746323.2,120.96,2987.17,39443.419,0.0018569437923634882,8194100.9
86,Shell - Superstructure,A4,9337.5,3.51,43.25,1429.73,3.198069682138e-10,132540.5
86,Shell - Superstructure,B4-B5,18885.5,2.86,53.84,2852.948,5.62811231838843e-05,277641.7
86,Shell - Superstructure,C2-C4,20713.7,4.86,95.62,1900.14,3.801511272994e-09,330954.2
86,Shell - Superstructure,D,-73057.3,-5.61,-138.42999999999998,-1811.6899999999998,0.000522909769388499,-682757.6
86,Substructure,A1-A3,1059307.9,186.42000000000002,3174.98,55888.433,-0.0015837260826072,9373634.4
86,Substructure,A4,8481.5,3.2,39.29,1298.646,2.904870956e-10,120389.3
86,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
86,Substructure,C2-C4,65210.899999999994,15.24,301.16,5990.148999999999,1.19821328745e-08,1043384.3
86,Substructure,D,-94191.1,-6.51,-168.64000000000001,-1842.188,0.00068614976376395,-874516.7000000001
87,Interiors - Construction,A1-A3,15166.7,4.37,77.49,1070.025,0.00033501048340643,189739.90000000002
87,Interiors - Construction,A4,157.0,0.04,0.68,24.067,5.3833949150000005e-12,2231.1
87,Interiors - Construction,B4-B5,1365.3,1.82,9.17,83.359,4.73202088516e-05,15583.8
87,Interiors - Construction,C2-C4,382.6,0.75,3.12,14.92,1.59270715118e-11,1281.8
87,Interiors - Construction,D,-4511.5,-0.45,-13.09,-171.562,2.6149436582199998e-05,-47923.6
87,Interiors - Finishes,A1-A3,7191.5,1.27,11.01,245.837,3.4160134774e-07,115589.09999999999
87,Interiors - Finishes,A4,317.40000000000003,0.13,1.45,48.589,1.086914637e-11,4504.5
87,Interiors - Finishes,B4-B5,12681.3,2.91,35.61,813.226,4.00637597e-09,228379.7
87,Interiors - Finishes,C2-C4,1170.7,0.33,5.45,105.841,4.2971052077e-10,18418.3
87,Interiors - Finishes,D,1.6,0.0,0.0,0.507,-3.615506e-12,20.1
87,Shell - Enclosure,A1-A3,122159.5,31.91,594.64,7286.014999999999,0.00196329184435675,1945755.5999999999
87,Shell - Enclosure,A4,1174.0,0.39,5.42,179.766,4.0211693352e-11,16665.3
87,Shell - Enclosure,B4-B5,34770.4,11.14,126.35,2781.103,0.000355213983575723,685106.1
87,Shell - Enclosure,C2-C4,2471.8,3.12,16.19,240.547,3.7587176036689994e-08,38808.7
87,Shell - Enclosure,D,-28834.100000000002,-3.09,-148.43,-1332.879,5.45010898641541e-05,-276723.7
87,Shell - Superstructure,A1-A3,207476.3,30.709999999999997,920.0100000000001,8704.991,0.0009982873193499651,2332171.6
87,Shell - Superstructure,A4,5681.8,2.13,26.3,869.93,1.9458991151822e-10,80645.2
87,Shell - Superstructure,B4-B5,493.0,0.2,7.97,44.607,2.8995916764999996e-10,8310.7
87,Shell - Superstructure,C2-C4,5972.0,1.46,27.39,541.364,1.0815078800074e-09,94177.1
87,Shell - Superstructure,D,-12747.199999999999,-0.93,-23.689999999999998,-285.338,9.223069346419999e-05,-118730.4
87,Substructure,A1-A3,243262.7,47.48,612.51,13150.199,-7.143922610599999e-05,1823169.5
87,Substructure,A4,1490.9,0.56,6.9,228.292,5.10650968e-11,21163.5
87,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
87,Substructure,C2-C4,19687.8,4.61,90.99,1809.5149999999999,3.6191106919e-09,315175.6
87,Substructure,D,-3516.2000000000003,0.01999999999999999,-2.0500000000000003,146.888,3.09655637846e-05,-30335.300000000003
88,Interiors - Construction,A1-A3,13584.4,2.5100000000000002,55.43,755.149,0.00014907954180458,159705.5
88,Interiors - Construction,A4,172.2,0.05,0.8,26.377,5.900266303e-12,2445.4
88,Interiors - Construction,B4-B5,30.0,0.01,0.15,3.057,1.1462796e-09,535.8000000000001
88,Interiors - Construction,C2-C4,95.3,0.03,0.43,8.628,1.72618988649e-11,1503.3999999999999
88,Interiors - Construction,D,-6901.3,-0.56,-15.0,-197.96699999999998,4.6634538474207e-05,-64531.00000000001
88,Interiors - Finishes,A1-A3,23818.6,3.32,732.79,849.095,0.0003822805504165489,381164.10000000003
88,Interiors - Finishes,A4,652.3,0.23,3.68,111.374,2.21587989222e-11,9223.8
88,Interiors - Finishes,B4-B5,41720.200000000004,7.39,2131.5,1945.252,5.7247503546298e-05,740641.2000000001
88,Interiors - Finishes,C2-C4,2549.9,0.73,9.97,188.454,3.7665566712e-10,32686.7
88,Interiors - Finishes,D,-4865.400000000001,-0.5,-17.59,-183.55700000000002,-7.698858525567e-08,-60880.9
88,Shell - Enclosure,A1-A3,271196.60000000003,50.46,1233.69,14205.409,0.0016151219019636001,3335794.2
88,Shell - Enclosure,A4,2978.3,1.07,13.780000000000001,456.081,1.02018244208e-10,42280.4
88,Shell - Enclosure,B4-B5,6687.6,4.3100000000000005,34.24,433.13800000000003,0.00016511431472926,117718.4
88,Shell - Enclosure,C2-C4,5477.6,2.77,27.79,508.905,9.96662424032e-10,86818.5
88,Shell - Enclosure,D,-82388.0,-8.85,-516.79,-4121.96,2.6049450814325002e-05,-785487.0
88,Shell - Superstructure,A1-A3,284575.3,45.690000000000005,1177.53,15245.091,0.005547785519384548,3046556.0
88,Shell - Superstructure,A4,2401.3,0.89,11.12,367.691,8.224649196799999e-11,34086.0
88,Shell - Superstructure,B4-B5,4896.099999999999,0.67,7.72,644.855,2.0679013152e-09,73556.79999999999
88,Shell - Superstructure,C2-C4,8547.6,2.0,39.48,785.0949999999999,1.570324115116e-09,136741.3
88,Shell - Superstructure,D,-47177.6,-4.61,-263.52,-2070.424,7.019265241829999e-05,-443821.9
88,Substructure,A1-A3,68798.2,11.42,222.94,3596.744,-0.0001440478040398,650788.4
88,Substructure,A4,603.5,0.22,2.81,92.424,2.0673727e-11,8568.1
88,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
88,Substructure,C2-C4,3395.8,0.79,15.67,311.775,6.23718348e-10,54307.9
88,Substructure,D,-8678.0,-0.65,-16.18,-202.37800000000001,6.240674124777e-05,-80921.7
88,Unknown,A1-A3,2338.8,0.29,11.69,118.08,0.00029512562279999997,31336.6
88,Unknown,A4,11.0,0.0,0.05,1.681,3.7597440000000003e-13,155.8
88,Unknown,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
88,Unknown,C2-C4,2.1,0.0,0.01,0.187,3.7695409999999997e-13,32.8
88,Unknown,D,-764.2,-0.08,-5.04,-38.816,-3.426742e-08,-7217.4
89,Interiors - Construction,A1-A3,8342.1,1.87,36.39,514.959,0.0001659304357172,105538.9
89,Interiors - Construction,A4,82.5,0.01,0.37,12.642999999999999,2.828187759e-12,1172.1
89,Interiors - Construction,B4-B5,3111.2,1.07,14.809999999999999,209.54999999999998,8.56777674405e-05,42928.6
89,Interiors - Construction,C2-C4,131.8,0.08,0.59,4.183,5.139605741899999e-12,412.8
89,Interiors - Construction,D,-4032.4,-0.32,-8.33,-117.13499999999999,2.8909946376e-05,-39386.5
89,Interiors - Finishes,A1-A3,12431.9,3.6,42.31,605.0590000000001,0.00019029546344307,166566.19999999998
89,Interiors - Finishes,A4,324.3,0.11,1.48,49.605,1.109533749e-11,4598.4
89,Interiors - Finishes,B4-B5,11095.9,3.34,38.160000000000004,621.188,6.806376915916999e-05,158582.0
89,Interiors - Finishes,C2-C4,726.4,0.49,3.74,62.23,1.2266841410000001e-10,10689.6
89,Interiors - Finishes,D,-5689.400000000001,-0.45,-11.17,-157.712,4.0233985258956126e-05,-53274.6
89,Shell - Enclosure,A1-A3,43289.8,8.36,153.41,2296.791,0.000878493299216079,466971.89999999997
89,Shell - Enclosure,A4,1675.5,0.5800000000000001,7.74,256.496,5.7374202407999994e-11,23777.899999999998
89,Shell - Enclosure,B4-B5,16870.8,4.37,72.64,1056.737,0.0005807440214760491,229165.5
89,Shell - Enclosure,C2-C4,4407.3,1.43,19.75,322.81,6.9328023913143e-08,53345.0
89,Shell - Enclosure,D,-10189.1,-1.03,-32.36,-350.705,5.9757984076964994e-05,-110478.5
89,Shell - Superstructure,A1-A3,59553.3,11.77,233.5,3507.68,0.00050417167862518,654361.8
89,Shell - Superstructure,A4,614.7,0.21,2.87,94.1,2.1048995738000002e-11,8723.5
89,Shell - Superstructure,B4-B5,6235.900000000001,1.21,20.37,298.60699999999997,4.5823629718791006e-05,83684.5
89,Shell - Superstructure,C2-C4,2788.7999999999997,0.68,12.82,246.522,4.896026175699999e-10,42591.5
89,Shell - Superstructure,D,-10137.6,-0.79,-19.73,-256.10699999999997,7.3029368653205e-05,-96531.4
89,Substructure,A1-A3,22039.6,4.54,60.15,1287.3919999999998,-1.237896082e-05,185152.8
89,Substructure,A4,191.8,0.08,0.8900000000000001,29.375,6.570751e-12,2723.0
89,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
89,Substructure,C2-C4,2406.8,0.56,11.120000000000001,221.196,4.4240772e-10,38527.4
89,Substructure,D,-653.1,-0.009999999999999998,-0.6799999999999999,11.656999999999998,5.3640960739e-06,-5802.2
90,Interiors - Construction,A1-A3,10866.2,4.28,56.88,847.8589999999999,0.0003218886598935688,138444.1
90,Interiors - Construction,A4,107.7,0.01,0.4,16.368,3.6596156429e-12,1516.0
90,Interiors - Construction,B4-B5,3546.7,2.24,18.49,543.979,0.000139713487457975,51273.5
90,Interiors - Construction,C2-C4,103.8,0.13,0.38,10.529,1.12092936737e-11,1573.8
90,Interiors - Construction,D,-4458.5,-0.46,-18.48,-203.368,1.352181285e-05,-44021.9
90,Interiors - Finishes,A1-A3,8830.6,5.3,14.31,260.758,2.01085337e-09,134447.2
90,Interiors - Finishes,A4,398.4,0.11,1.82,61.012,1.3647541e-11,5656.0
90,Interiors - Finishes,B4-B5,13158.7,6.38,32.87,663.817,3.4786874999999997e-09,213911.8
90,Interiors - Finishes,C2-C4,1882.8,0.42,8.54,169.451,3.399457231e-10,29624.399999999998
90,Interiors - Finishes,D,0.0,0.0,0.0,0.0,0.0,0.0
90,Shell - Enclosure,A1-A3,108342.4,19.05,435.06,5672.532,0.0029871367145645634,1543858.3
90,Shell - Enclosure,A4,900.5,0.29,4.17,137.862,3.083745397e-11,12779.8
90,Shell - Enclosure,B4-B5,30879.7,6.78,112.75,1650.214,0.001559773491493043,576252.1
90,Shell - Enclosure,C2-C4,1817.8999999999999,1.73,10.799999999999999,174.09,3.30263534812e-10,28774.3
90,Shell - Enclosure,D,-17948.6,-1.59,-55.83,-612.032,9.4259599274e-05,-169147.1
90,Shell - Superstructure,A1-A3,549873.8,89.03,2020.31,29675.444,-4.199224331676299e-05,5611818.1
90,Shell - Superstructure,A4,6506.3,2.37,30.12,996.276,2.2285164368e-10,92358.3
90,Shell - Superstructure,B4-B5,22866.0,8.59,129.1,1535.07,2.2690402020419e-05,140369.30000000002
90,Shell - Superstructure,C2-C4,72155.2,12.24,193.21,2963.556,5.574436167414e-09,480863.2
90,Shell - Superstructure,D,-66843.40000000001,-7.07,-175.94,-2192.552,0.000529424101305923,-839950.5
90,Substructure,A1-A3,18022.4,3.11,52.910000000000004,990.986,-1.8910249124e-05,154818.9
90,Substructure,A4,157.1,0.05,0.7200000000000001,24.084,5.3870139999999996e-12,2232.6
90,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
90,Substructure,C2-C4,3277.0,0.37,7.489999999999999,149.322,2.9866454399999997e-10,26008.7
90,Substructure,D,-1087.6,-0.06999999999999999,-1.73,-10.372,8.19317366681e-06,-9980.9
90,Unknown,A1-A3,3735.0,1.7100000000000002,26.38,447.40799999999996,6.92201536e-06,61332.1
90,Unknown,A4,267.4,0.09,1.25,40.937,9.157007299999998e-12,3795.0
90,Unknown,B4-B5,10927.7,5.24,55.53,688.044,7.2862927e-06,97196.8
90,Unknown,C2-C4,5606.0,2.35,22.98,117.465,9.790959806999999e-11,6824.6
90,Unknown,D,1931.8,-0.66,-15.8,-199.516,4.4523218e-06,-63850.7
91,Interiors - Finishes,A1-A3,5237.2,2.08,21.48,257.986,0.000214804,79831.4
91,Interiors - Finishes,A4,104.0,0.04,0.48,15.922,3.5613e-12,1476.0
91,Interiors - Finishes,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
91,Interiors - Finishes,C2-C4,496.0,0.12,2.24,44.622,8.95752e-11,7806.0
91,Interiors - Finishes,D,0.0,0.0,0.0,0.0,0.0,0.0
91,Shell - Enclosure,A1-A3,16619.7,3.14,83.46000000000001,1111.248,0.0019753796874,227246.9
91,Shell - Enclosure,A4,107.0,0.04,0.5,16.403,3.669092999999999e-12,1520.6
91,Shell - Enclosure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
91,Shell - Enclosure,C2-C4,57.599999999999994,0.01,0.26,5.191,1.04243091e-11,905.5
91,Shell - Enclosure,D,-3141.4,-0.29000000000000004,-13.729999999999999,-124.952,1.0591292799999999e-05,-29546.4
91,Shell - Superstructure,A1-A3,103190.3,17.25,418.48,5173.9039999999995,0.0029959591952,1130098.6
91,Shell - Superstructure,A4,884.0,0.33999999999999997,4.1,135.339,3.0272962e-11,12546.3
91,Shell - Superstructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
91,Shell - Superstructure,C2-C4,3626.8,0.85,16.759999999999998,333.15599999999995,6.6641116e-10,58031.5
91,Shell - Superstructure,D,-3423.6,-0.26,-13.209999999999999,-88.78500000000001,1.3978865857e-05,-31815.5
92,Interiors - Construction,A1-A3,3815.7,0.98,23.12,353.488,7.3735731640527e-05,50072.4
92,Interiors - Construction,A4,94.0,0.02,0.43,14.403,3.221937422e-12,1335.3
92,Interiors - Construction,B4-B5,2271.2000000000003,0.86,12.8,148.62199999999999,1.65096615229e-06,12640.2
92,Interiors - Construction,C2-C4,1601.4,0.5900000000000001,6.41,33.230000000000004,2.8482886710700002e-11,1994.3
92,Interiors - Construction,D,-185.5,-0.12000000000000001,-3.16,-41.260999999999996,3.8933358678e-06,-13415.1
92,Interiors - Finishes,A1-A3,10690.4,5.34,29.11,423.076,9.214646406591599e-05,165600.1
92,Interiors - Finishes,A4,407.3,0.12,1.81,62.408,1.3959602318e-11,5785.7
92,Interiors - Finishes,B4-B5,16089.8,6.18,50.84,938.971,1.1640155416679999e-05,287749.89999999997
92,Interiors - Finishes,C2-C4,1755.8,0.36,7.9,152.865,5.7071180181e-10,26555.6
92,Interiors - Finishes,D,-118.6,-0.02,-0.75,-8.649,1.4802498307400008e-07,-1819.3
92,Shell - Enclosure,A1-A3,42780.5,15.120000000000001,225.02,2578.412,0.0008234973882467002,614937.6
92,Shell - Enclosure,A4,682.2,0.19,3.1,104.48,2.3370810551e-11,9685.6
92,Shell - Enclosure,B4-B5,31306.800000000003,12.39,161.11,1966.776,0.000311698431766234,382507.1
92,Shell - Enclosure,C2-C4,5669.2,2.43,23.88,175.367,2.253758303683e-10,18126.1
92,Shell - Enclosure,D,-9430.6,-1.47,-69.06,-626.9730000000001,5.3407214322893e-06,-129599.0
92,Shell - Superstructure,A1-A3,54223.0,11.42,165.31,3259.8469999999998,5.36098654147584e-05,471733.7
92,Shell - Superstructure,A4,767.4,0.28,3.5300000000000002,117.523,2.62889513348e-11,10895.2
92,Shell - Superstructure,B4-B5,8075.0,3.0,45.57,533.338,1.56594483050611e-05,54257.8
92,Shell - Superstructure,C2-C4,10992.6,6.489999999999999,54.629999999999995,570.372,9.61387658068e-10,81582.8
92,Shell - Superstructure,D,4074.1,-0.08000000000000002,-1.89,29.083999999999993,-1.782562089017e-05,-7213.500000000003
93,Interiors - Construction,A1-A3,2145.2,0.4,9.120000000000001,129.139,3.2614523999999996e-05,25853.4
93,Interiors - Construction,A4,20.4,0.0,0.09,3.114,6.9672978e-13,288.7
93,Interiors - Construction,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
93,Interiors - Construction,C2-C4,3.3,0.0,0.01,0.308,6.1956542e-13,53.9
93,Interiors - Construction,D,-990.7,-0.07,-1.95,-27.506000000000004,7.0144079e-06,-9263.4
93,Interiors - Finishes,A1-A3,25351.5,6.55,103.88000000000001,1340.633,0.000541330582595053,360511.1
93,Interiors - Finishes,A4,469.8,0.15,2.15,71.956,1.6094817638e-11,6670.2
93,Interiors - Finishes,B4-B5,12351.1,2.0700000000000003,33.52,682.703,4.125795747e-09,231841.6
93,Interiors - Finishes,C2-C4,1887.6000000000001,0.39,8.54,169.795,3.4086006713e-10,29703.5
93,Interiors - Finishes,D,-4740.5,-0.45,-21.0,-191.79500000000002,1.5265530738e-05,-44777.4
93,Shell - Enclosure,A1-A3,246095.0,51.57,1467.18,16999.235,0.00451167702097911,3096059.8
93,Shell - Enclosure,A4,5513.6,2.0100000000000002,25.46,844.169,1.88826640929e-10,78257.2
